sportName,sportId,primaryBookmaker,secondaryBookmaker
NCAAB,5,14,
NHL,6,22,
IPL,20,22,
T20,21,22,
CSGO,9977,154,
DOTA,9983,154,
LOL,10138,154,
Tennis GS,153,517,
Tennis ATP,156,517,
Olympics Basketball Q,10502,425,
Europa League Q,10613,154,
Conference League Q,10615,154,
Voleyball Summer Olympics female,8893,425,
Voleyball Summer Olympics male,8894,425,
Basketball Summer Olympics female,407,154,
Basketball Summer Olympics male,406,154,
Table Tennis Olympics,8910,154,
Copa do Brasil Soccer,20002,bet365,
UEFA - Super Cup,20001,bet365,
Netherlands - Eredivisie,57,bet365,
Portugal - Primeira Liga,61,Bovada,
Czech Republic - FNL,20104,Pinnacle,
Russia - Premier League,20107,1XBet,
Turkey - Super Lig,20108,Bovada,
Serbia - Super Liga,20109,1XBet,
Greece - Super League,20110,Bovada,
India - Calcutta Premier Division,20111,1XBet,
