sportName,sportId,primaryBookmaker,secondaryBookmaker
NFL,2,Pinnacle,DraftKings
NBA,4,Pinnacle,DraftKings
NHL,6,Pinnacle,DraftKings
MLS,10,Pinnacle,Draftkings
EPL,11,Pinnacle,Draftkings
FRA1,12,Pinnacle,Draftkings
GER1,13,Pinnacle,Draftkings
ESP1,14,Pinnacle,Draftkings
ITA1,15,Pinnacle,Draftkings
UEFA CL,16,Pinnacle,Draftkings
UEFA EL,17,Pinnacle,Draftkings
NET1,57,Pinnacle,Draftkings
POR1,61,Pinnacle,Draftkings
Brazil,268,Pinnacle,Draftkings
UEFA Conference league,10216,Pinnacle,
Copa do Brasil Soccer,20002,Bovada,
Euroleague,399,Pinnacle,Betsson
Spain - Liga ACB,20201,Pinnacle,Draftkings
Italy - Lega Basket Serie A,20202,Pinnacle,Draftkings
Germany - BBL,20203,Pinnacle,Draftkings
France - LNB Pro A,20204,Pinnacle,Draftkings
Australia - Big Bash League Women,20304,Pinnacle,
CS2,9977,Pinnacle,
Dota 2,9983,Pinnacle,
