leagueId,teamName,mollyId
2,New England Patriots,21632
2,Seattle Seahawks,21641
4,Atlanta Hawks,29096
4,Boston Celtics,29091
4,Charlotte Hornets,29097
4,Chicago Bulls,29101
4,Cleveland Cavaliers,29102
4,Dallas Mavericks,29111
4,Detroit Pistons,29103
4,Golden State Warriors,29116
4,Houston Rockets,29112
4,Indiana Pacers,29104
4,Los Angeles Lakers,29118
4,Memphis Grizzlies,29113
4,Miami Heat,29098
4,Milwaukee Bucks,29105
4,Minnesota Timberwolves,29107
4,New York Knicks,29093
4,Oklahoma City Thunder,40897
4,Orlando Magic,29099
4,Philadelphia 76ers,29094
4,Phoenix Suns,29119
4,Sacramento Kings,29120
4,San Antonio Spurs,29115
4,Toronto Raptors,29095
4,Utah Jazz,29110
4,Washington Wizards,29100
6,Anaheim Ducks,29082
6,Boston Bruins,29062
6,Buffalo Sabres,29063
6,Calgary Flames,29077
6,Carolina Hurricanes,29068
6,Chicago Blackhawks,29072
6,Colorado Avalanche,29078
6,Detroit Red Wings,29074
6,Edmonton Oilers,29079
6,Florida Panthers,29069
6,Los Angeles Kings,29084
6,Minnesota Wild,29080
6,Montreal Canadiens,29064
6,Nashville Predators,29075
6,New Jersey Devils,29057
6,New York Islanders,29058
6,New York Rangers,29059
6,Philadelphia Flyers,29060
6,Pittsburgh Penguins,29061
6,San Jose Sharks,29086
6,Seattle Kraken,10043989
6,St. Louis Blues,29076
6,Tampa Bay Lightning,29070
6,Toronto Maple Leafs,29066
6,Vancouver Canucks,29081
6,Washington Capitals,29071
6,Winnipeg Jets,51404
11,AFC Bournemouth,10
11,Arsenal FC,1
11,Aston Villa FC,2
11,Brentford FC,12
11,Brighton & Hove Albion FC,13
11,Burnley FC,16
11,Chelsea FC,22
11,Crystal Palace FC,29
11,Everton FC,33
11,Fulham FC,35
11,Leeds United FC,45
11,Liverpool FC,49
11,Manchester City FC,52
11,Manchester United FC,53
11,Newcastle United FC,59
11,Nottingham Forest FC,62
11,Sunderland AFC,85
11,Tottenham Hotspur FC,89
11,West Ham United FC,94
11,Wolverhampton Wanderers FC,97
12,AS Monaco FC,302
12,Lille OSC,248
12,OGC Nice Côte d'Azur,250
12,Olympique de Marseille,304
12,Olympique Lyonnais,305
12,Paris Saint-Germain FC,328
13,1. FC Heidenheim 1846,30131
13,1. FC Köln,226
13,1. FC Union Berlin,1739
13,1. FSV Mainz 05,192
13,Bayer 04 Leverkusen,202
13,Borussia VfL Mönchengladbach,199
13,BV Borussia 09 Dortmund,194
13,Eintracht Frankfurt,210
13,FC Augsburg,1047
13,FC Bayern München,198
13,FC St. Pauli,945
13,Hamburger SV,208
13,RasenBallsport Leipzig,36698
13,SC Freiburg,193
13,SV Werder Bremen,203
13,TSG 1899 Hoffenheim,1059
13,VfB Stuttgart 1893,200
13,VfL Wolfsburg,207
14,Athletic Club Bilbao,174
14,CA Osasuna,150
14,Club Atlético de Madrid,173
14,Deportivo Alavés,539
14,Elche CF,538
14,FC Barcelona,187
14,Getafe CF,185
14,Girona FC,23824
14,Levante UD,179
14,Rayo Vallecano,23604
14,Real Betis Balompié,184
14,Real Club Celta de Vigo,540
14,Real Club Deportivo Mallorca,181
14,Real Madrid CF,178
14,Real Oviedo,23624
14,Real Sociedad de Fútbol,177
14,Reial Club Deportiu Espanyol,182
14,Sevilla FC,189
14,Valencia CF,176
14,Villarreal CF,151
15,AC Milan,230
15,ACF Fiorentina,229
